dept_id,shop_no,store_name,area,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total_USD
1127,US00001,8th & Broadway,Area 1 (NYC),0.00,929.35,852.41,1968.60,6317.45,2391.90,3027.23,1855.67,1068.46,1382.75,556.08,355.28,20705.20
20010,US00006,102 Fulton,Area 1 (NYC),0.00,0.00,254.33,1898.24,7533.72,2513.65,3032.05,2095.88,1029.09,687.50,398.68,255.42,19698.57
1141,US00005,54th & 8th,Area 1 (NYC),0.00,0.00,295.78,2243.39,6078.08,2582.22,2971.98,1921.31,1050.73,719.72,417.20,437.91,18718.33
1128,US00002,28th & 6th,Area 1 (NYC),0.00,683.48,699.67,2087.24,4132.33,2003.90,2940.73,1603.89,758.49,351.99,264.95,390.33,15917.01
1140,US00003,100 Maiden Ln,Area 1 (NYC),0.00,0.00,0.00,1167.88,4081.92,2279.61,3015.48,1853.91,1303.98,800.62,597.55,581.57,15682.52
20011,US00004,37th & Broadway,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,1272.79,4063.34,1810.24,937.84,696.40,726.97,421.98,9929.57
20032,US00025,221 Grand,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,1615.74,1969.52,1275.64,1001.37,499.06,351.10,6712.42
20031,US00024,15th & 3rd,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,1687.73,1768.58,1217.40,758.34,485.90,280.27,6198.23
20008,US00008,33rd & 10th,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,932.78,1798.60,709.30,879.63,507.60,337.75,5165.66
20008,JFK-KIOSK,JFK 24,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,29.59,2358.72,267.15,307.71,53.01,95.28,30.76,3142.22
20027,US00020,21st & 3rd,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1239.30,689.02,431.36,558.18,2917.87
20035,US00027,52nd & Madison,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.27,737.84,809.90,715.44,2334.45
20019,US00012,16th & 6th,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.12,722.72,350.87,1308.71
20016,US00010,154 Bleecker,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.54,618.36,731.90
20009,US00007,108th & Broadway,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.26,678.70,694.96
20026,US00019,29th & 3rd,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,381.62,279.11,660.73
20022,US00015,41st & Lexington,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,325.56,353.34
20029,US00022,23rd & 8th,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.93,194.93
20025,US00018,40th & 10th,Area 1 (NYC),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.23,107.23
TOTAL,TOTAL,TOTAL,TOTAL,0.00,1612.83,2102.19,9365.36,28143.49,13073.66,25645.79,16944.77,10969.23,8993.32,7052.45,7270.75,131173.85
1112,NON-STORE,非门店:运营发展部,非门店,0.00,178.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.71
1124,NON-STORE,非门店:Operations Department,非门店,3.62,0.00,0.00,180.54,930.00,0.00,9.12,0.00,1.59,0.00,0.00,0.00,1124.86
